0.041 0.238 0.153 0.107 3.517
0.065 0.195 0.228 0.147 6.411
0.072 0.305 0.692 0.454 8.092
0.069 0.565 0.611 0.438 3.465
0.070 0.728 0.779 0.559 4.776
0.070 0.750 0.834 0.635 3.823
0.069 0.821 0.717 0.649 2.518
0.069 0.797 0.820 0.685 2.315
0.070 0.783 0.857 0.706 1.636
0.069 0.925 0.975 0.778 1.870
0.069 0.970 1.058 0.669 1.012
0.069 0.816 0.851 0.791 1.847
0.069 0.859 0.857 0.770 0.700
0.070 1.003 0.823 0.919 1.229
0.070 0.929 0.889 0.827 0.681
